site_id,"(0,5]","(5,10]","(10,15]","(15,20]","(20,25]","(25,30]","(30,35]","(35,40]",cluster,cluster_label
ACM018,0.391829155,0.591457753,0.012070566,0.00185701,0.000928505,0.00185701,0.0,0.0,0,5–10m dominant
ACM020,0.68057958775,0.2496896585,0.066332242,0.014560736,0.0,0.0,0.0,0.0,3,0–5m dominant
ACM040,0.422535211,0.112676056,0.197183099,0.183098592,0.056338028,0.028169014,0.0,0.0,4,0–25m mixed structure
ACN003,0.548780488,0.308943089,0.130081301,0.012195122,0.0,0.0,0.0,0.0,0,5–10m dominant
ACP002,0.689440994,0.301242236,0.00931677,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACP005,0.350877193,0.618421053,0.021929825,0.00877193,0.0,0.0,0.0,0.0,0,5–10m dominant
ACP006,0.821596244,0.147887324,0.030516432,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACT001,0.698622689,0.181949982,0.068956144,0.036245016,0.012685756,0.001268576,0.000271838,0.0,3,0–5m dominant
ACU002,0.538812785,0.296803653,0.164383562,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ACU006,0.15037594,0.842105263,0.007518797,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ACU016,0.487394958,0.231092437,0.264705882,0.016806723,0.0,0.0,0.0,0.0,0,5–10m dominant
ACV001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACW006,0.777777778,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACY002,0.478494624,0.510752688,0.010752688,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ACY011,0.934020619,0.043298969,0.01443299,0.006185567,0.002061856,0.0,0.0,0.0,3,0–5m dominant
ACY012,0.030769231,0.184615385,0.646153846,0.138461538,0.0,0.0,0.0,0.0,1,10–15m dominant
ACY201,0.114014252,0.410926366,0.472684086,0.002375297,0.0,0.0,0.0,0.0,1,10–15m dominant
ACY219,0.474358974,0.487179487,0.025641026,0.0,0.012820513,0.0,0.0,0.0,0,5–10m dominant
ACY226,0.916083916,0.076923077,0.006993007,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACZ008,0.322378717,0.672926448,0.001564945,0.00312989,0.0,0.0,0.0,0.0,0,5–10m dominant
ACZ012,0.299703264,0.442136499,0.243323442,0.014836795,0.0,0.0,0.0,0.0,0,5–10m dominant
ACZ038,0.598039216,0.294117647,0.039215686,0.068627451,0.0,0.0,0.0,0.0,3,0–5m dominant
ACZ039,0.453608247,0.391752577,0.082474227,0.030927835,0.041237113,0.0,0.0,0.0,0,5–10m dominant
ACZ040,0.458333333,0.402777778,0.097222222,0.041666667,0.0,0.0,0.0,0.0,0,5–10m dominant
ACZ056,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,10–15m dominant
ACZ057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACZ058,0.177496729,0.25948539,0.371565635,0.186655037,0.004797209,0.0,0.0,0.0,1,10–15m dominant
ACZ060,0.714285714,0.285714286,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACZ061,0.764705882,0.235294118,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACZ062,0.436018957,0.454976303,0.090047393,0.004739336,0.014218009,0.0,0.0,0.0,0,5–10m dominant
AFI001,0.555973659,0.11476952,0.196613358,0.041392286,0.0,0.0,0.009407338,0.039510818,3,0–5m dominant
AFY201,0.242424242,0.265993266,0.434343434,0.057239057,0.0,0.0,0.0,0.0,1,10–15m dominant
AGI003,0.866666667,0.133333333,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
AHB255,0.606661218,0.297098488,0.072129138,0.02002452,0.003473641,0.000612996,0.0,0.0,3,0–5m dominant
AHD005,0.570439494,0.133955449,0.050872968,0.031306442,0.083383504,0.08819988,0.02679109,0.011137869,4,0–25m mixed structure
AHH006,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
AHY001,0.201629328,0.407331976,0.236252546,0.079429735,0.073319756,0.00203666,0.0,0.0,1,10–15m dominant
AJP001,0.777777778,0.111111111,0.111111111,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ANG001,0.19047619,0.476190476,0.301587302,0.031746032,0.0,0.0,0.0,0.0,0,5–10m dominant
AOF001,0.504950495,0.099009901,0.178217822,0.158415842,0.02970297,0.02970297,0.0,0.0,4,0–25m mixed structure
AON001,0.80952381,0.031746032,0.031746032,0.047619048,0.063492063,0.0,0.015873016,0.0,3,0–5m dominant
AOQ001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
APF003,0.444444444,0.333333333,0.222222222,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
APG005,0.604761905,0.342857143,0.047619048,0.004761905,0.0,0.0,0.0,0.0,3,0–5m dominant
APK001,0.14,0.4,0.4,0.04,0.02,0.0,0.0,0.0,1,10–15m dominant
APK005,0.477272727,0.135330579,0.174586777,0.116735537,0.053719008,0.021694215,0.020661157,0.0,4,0–25m mixed structure
APL001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
APL002,0.369230769,0.6,0.015384615,0.015384615,0.0,0.0,0.0,0.0,0,5–10m dominant
APL003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
AQG003,0.306451613,0.661290323,0.024193548,0.0,0.008064516,0.0,0.0,0.0,0,5–10m dominant
AQL002,0.358974359,0.564102564,0.051282051,0.025641026,0.0,0.0,0.0,0.0,0,5–10m dominant
ARB250,0.89673913,0.086956522,0.016304348,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ARC001,0.161210405,0.775437976,0.045478676,0.011856309,0.005131835,0.000884799,0.0,0.0,0,5–10m dominant
ARC101,0.707865169,0.292134831,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ARC102,0.703296703,0.296703297,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ARC103,0.711111111,0.288888889,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ARC104,0.711111111,0.288888889,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ARF004,0.534883721,0.294573643,0.15503876,0.015503876,0.0,0.0,0.0,0.0,0,5–10m dominant
ARF501,0.711111111,0.288888889,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ARK001,0.619047619,0.214285714,0.095238095,0.071428571,0.0,0.0,0.0,0.0,3,0–5m dominant
ARK002,0.02962591,0.603376852,0.358021592,0.006716043,0.002259603,0.0,0.0,0.0,0,5–10m dominant
ARN002,0.711111111,0.288888889,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ARP001,0.857142857,0.142857143,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ARR003,0.657692308,0.25,0.061538462,0.015384615,0.015384615,0.0,0.0,0.0,3,0–5m dominant
ARR004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ARX001,0.511627907,0.441860465,0.046511628,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ASE003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE004,0.926829268,0.073170732,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE012,0.995283019,0.004716981,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE014,0.986175115,0.013824885,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE017,0.884615385,0.0,0.076923077,0.038461538,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE019,0.980769231,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE020,0.958333333,0.041666667,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE026,0.905882353,0.058823529,0.0,0.035294118,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE029,0.916666667,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE030,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE033,0.945945946,0.054054054,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE034,0.978417266,0.021582734,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASE035,0.984126984,0.015873016,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASI006,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,1,10–15m dominant
ASI045,0.963963964,0.022522523,0.004504505,0.009009009,0.0,0.0,0.0,0.0,3,0–5m dominant
ASI097,0.975903614,0.0,0.0,0.0,0.024096386,0.0,0.0,0.0,3,0–5m dominant
ASJ050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASK002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASL005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASW006,0.972222222,0.027777778,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASW008,0.958333333,0.041666667,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASW009,0.208333333,0.75,0.041666667,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ASW010,0.975,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ASZ012,0.375,0.0,0.5,0.125,0.0,0.0,0.0,0.0,1,10–15m dominant
ATA001,0.2578125,0.5234375,0.1484375,0.0703125,0.0,0.0,0.0,0.0,0,5–10m dominant
ATB250,0.981481481,0.018518519,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATB505,0.56,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ATB506,0.921259843,0.078740157,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATC002,0.185121847,0.270200941,0.516460026,0.026934587,0.001282599,0.0,0.0,0.0,1,10–15m dominant
ATC005,0.739370079,0.166929134,0.052755906,0.025984252,0.011023622,0.003937008,0.0,0.0,3,0–5m dominant
ATC010,0.79,0.18,0.01,0.0,0.02,0.0,0.0,0.0,3,0–5m dominant
ATC011,0.696333922,0.295053004,0.005962898,0.00110424,0.000441696,0.000220848,0.000883392,0.0,3,0–5m dominant
ATC027,0.322916667,0.510416667,0.15625,0.010416667,0.0,0.0,0.0,0.0,0,5–10m dominant
ATC032,0.314285714,0.617142857,0.068571429,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ATC036,0.378378378,0.553014553,0.068607069,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ATC044,0.826086957,0.166666667,0.007246377,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATD002,0.651872399,0.221220527,0.051317614,0.042302358,0.023578363,0.006934813,0.002080444,0.000693481,3,0–5m dominant
ATD016,0.717557252,0.27480916,0.007633588,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATE020,0.185185185,0.688109162,0.126705653,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ATE021,0.887755102,0.091836735,0.020408163,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ATE029,0.09,0.604285714,0.281428571,0.011428571,0.008571429,0.004285714,0.0,0.0,0,5–10m dominant
ATE034,0.146520147,0.492673993,0.360805861,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ATE044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
